tablescraper-selected-row,tablescraper-selected-row href,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3
00601,https://www.zipdatamaps.com/00601,Non-Unique,Adjuntas,https://www.zipdatamaps.com/zipcodes-adjuntas-pr,Adjuntas,https://www.zipdatamaps.com/adjuntas-pr-county-zipcodes
00602,https://www.zipdatamaps.com/00602,Non-Unique,Aguada,https://www.zipdatamaps.com/zipcodes-aguada-pr,Aguada,https://www.zipdatamaps.com/aguada-pr-county-zipcodes
00603,https://www.zipdatamaps.com/00603,Non-Unique,Aguadilla,https://www.zipdatamaps.com/zipcodes-aguadilla-pr,Aguadilla,https://www.zipdatamaps.com/aguadilla-pr-county-zipcodes
00604,https://www.zipdatamaps.com/00604,PO Box,Aguadilla,https://www.zipdatamaps.com/zipcodes-aguadilla-pr,Aguadilla,https://www.zipdatamaps.com/aguadilla-pr-county-zipcodes
00605,https://www.zipdatamaps.com/00605,PO Box,Aguadilla,https://www.zipdatamaps.com/zipcodes-aguadilla-pr,Aguadilla,https://www.zipdatamaps.com/aguadilla-pr-county-zipcodes
00606,https://www.zipdatamaps.com/00606,Non-Unique,Maricao,https://www.zipdatamaps.com/zipcodes-maricao-pr,Maricao,https://www.zipdatamaps.com/maricao-pr-county-zipcodes
00610,https://www.zipdatamaps.com/00610,Non-Unique,Anasco,https://www.zipdatamaps.com/zipcodes-anasco-pr,Anasco,https://www.zipdatamaps.com/anasco-pr-county-zipcodes
00611,https://www.zipdatamaps.com/00611,PO Box,Angeles,https://www.zipdatamaps.com/zipcodes-angeles-pr,San Sebastian,https://www.zipdatamaps.com/san-sebastian-pr-county-zipcodes
00612,https://www.zipdatamaps.com/00612,Non-Unique,Arecibo,https://www.zipdatamaps.com/zipcodes-arecibo-pr,Arecibo,https://www.zipdatamaps.com/arecibo-pr-county-zipcodes
00613,https://www.zipdatamaps.com/00613,PO Box,Arecibo,https://www.zipdatamaps.com/zipcodes-arecibo-pr,Arecibo,https://www.zipdatamaps.com/arecibo-pr-county-zipcodes
00614,https://www.zipdatamaps.com/00614,PO Box,Arecibo,https://www.zipdatamaps.com/zipcodes-arecibo-pr,Arecibo,https://www.zipdatamaps.com/arecibo-pr-county-zipcodes
00616,https://www.zipdatamaps.com/00616,Non-Unique,Bajadero,https://www.zipdatamaps.com/zipcodes-bajadero-pr,Arecibo,https://www.zipdatamaps.com/arecibo-pr-county-zipcodes
00617,https://www.zipdatamaps.com/00617,Non-Unique,Barceloneta,https://www.zipdatamaps.com/zipcodes-barceloneta-pr,Barceloneta,https://www.zipdatamaps.com/barceloneta-pr-county-zipcodes
00622,https://www.zipdatamaps.com/00622,Non-Unique,Boqueron,https://www.zipdatamaps.com/zipcodes-boqueron-pr,Cabo Rojo,https://www.zipdatamaps.com/cabo-rojo-pr-county-zipcodes
00623,https://www.zipdatamaps.com/00623,Non-Unique,Cabo Rojo,https://www.zipdatamaps.com/zipcodes-cabo-rojo-pr,Cabo Rojo,https://www.zipdatamaps.com/cabo-rojo-pr-county-zipcodes
00624,https://www.zipdatamaps.com/00624,Non-Unique,Penuelas,https://www.zipdatamaps.com/zipcodes-penuelas-pr,Penuelas,https://www.zipdatamaps.com/penuelas-pr-county-zipcodes
00627,https://www.zipdatamaps.com/00627,Non-Unique,Camuy,https://www.zipdatamaps.com/zipcodes-camuy-pr,Camuy,https://www.zipdatamaps.com/camuy-pr-county-zipcodes
00631,https://www.zipdatamaps.com/00631,Non-Unique,Castaner,https://www.zipdatamaps.com/zipcodes-castaner-pr,Lares,https://www.zipdatamaps.com/lares-pr-county-zipcodes
00636,https://www.zipdatamaps.com/00636,PO Box,Rosario,https://www.zipdatamaps.com/zipcodes-rosario-pr,San German,https://www.zipdatamaps.com/san-german-pr-county-zipcodes
00637,https://www.zipdatamaps.com/00637,Non-Unique,Sabana Grande,https://www.zipdatamaps.com/zipcodes-sabana-grande-pr,Sabana Grande,https://www.zipdatamaps.com/sabana-grande-pr-county-zipcodes
00638,https://www.zipdatamaps.com/00638,Non-Unique,Ciales,https://www.zipdatamaps.com/zipcodes-ciales-pr,Ciales,https://www.zipdatamaps.com/ciales-pr-county-zipcodes
00641,https://www.zipdatamaps.com/00641,Non-Unique,Utuado,https://www.zipdatamaps.com/zipcodes-utuado-pr,Utuado,https://www.zipdatamaps.com/utuado-pr-county-zipcodes
00646,https://www.zipdatamaps.com/00646,Non-Unique,Dorado,https://www.zipdatamaps.com/zipcodes-dorado-pr,Dorado,https://www.zipdatamaps.com/dorado-pr-county-zipcodes
00647,https://www.zipdatamaps.com/00647,Non-Unique,Ensenada,https://www.zipdatamaps.com/zipcodes-ensenada-pr,Guanica,https://www.zipdatamaps.com/guanica-pr-county-zipcodes
00650,https://www.zipdatamaps.com/00650,Non-Unique,Florida,https://www.zipdatamaps.com/zipcodes-florida-pr,Florida,https://www.zipdatamaps.com/florida-pr-county-zipcodes
00652,https://www.zipdatamaps.com/00652,Non-Unique,Garrochales,https://www.zipdatamaps.com/zipcodes-garrochales-pr,Arecibo,https://www.zipdatamaps.com/arecibo-pr-county-zipcodes
00653,https://www.zipdatamaps.com/00653,Non-Unique,Guanica,https://www.zipdatamaps.com/zipcodes-guanica-pr,Guanica,https://www.zipdatamaps.com/guanica-pr-county-zipcodes
00656,https://www.zipdatamaps.com/00656,Non-Unique,Guayanilla,https://www.zipdatamaps.com/zipcodes-guayanilla-pr,Guayanilla,https://www.zipdatamaps.com/guayanilla-pr-county-zipcodes
00659,https://www.zipdatamaps.com/00659,Non-Unique,Hatillo,https://www.zipdatamaps.com/zipcodes-hatillo-pr,Hatillo,https://www.zipdatamaps.com/hatillo-pr-county-zipcodes
00660,https://www.zipdatamaps.com/00660,Non-Unique,Hormigueros,https://www.zipdatamaps.com/zipcodes-hormigueros-pr,Hormigueros,https://www.zipdatamaps.com/hormigueros-pr-county-zipcodes
00662,https://www.zipdatamaps.com/00662,Non-Unique,Isabela,https://www.zipdatamaps.com/zipcodes-isabela-pr,Isabela,https://www.zipdatamaps.com/isabela-pr-county-zipcodes
00664,https://www.zipdatamaps.com/00664,Non-Unique,Jayuya,https://www.zipdatamaps.com/zipcodes-jayuya-pr,Jayuya,https://www.zipdatamaps.com/jayuya-pr-county-zipcodes
00667,https://www.zipdatamaps.com/00667,Non-Unique,Lajas,https://www.zipdatamaps.com/zipcodes-lajas-pr,Lajas,https://www.zipdatamaps.com/lajas-pr-county-zipcodes
00669,https://www.zipdatamaps.com/00669,Non-Unique,Lares,https://www.zipdatamaps.com/zipcodes-lares-pr,Lares,https://www.zipdatamaps.com/lares-pr-county-zipcodes
00670,https://www.zipdatamaps.com/00670,Non-Unique,Las Marias,https://www.zipdatamaps.com/zipcodes-las-marias-pr,Las Marias,https://www.zipdatamaps.com/las-marias-pr-county-zipcodes
00674,https://www.zipdatamaps.com/00674,Non-Unique,Manati,https://www.zipdatamaps.com/zipcodes-manati-pr,Manati,https://www.zipdatamaps.com/manati-pr-county-zipcodes
00676,https://www.zipdatamaps.com/00676,Non-Unique,Moca,https://www.zipdatamaps.com/zipcodes-moca-pr,Moca,https://www.zipdatamaps.com/moca-pr-county-zipcodes
00677,https://www.zipdatamaps.com/00677,Non-Unique,Rincon,https://www.zipdatamaps.com/zipcodes-rincon-pr,Rincon,https://www.zipdatamaps.com/rincon-pr-county-zipcodes
00678,https://www.zipdatamaps.com/00678,Non-Unique,Quebradillas,https://www.zipdatamaps.com/zipcodes-quebradillas-pr,Quebradillas,https://www.zipdatamaps.com/quebradillas-pr-county-zipcodes
00680,https://www.zipdatamaps.com/00680,Non-Unique,Mayaguez,https://www.zipdatamaps.com/zipcodes-mayaguez-pr,Mayaguez,https://www.zipdatamaps.com/mayaguez-pr-county-zipcodes
00681,https://www.zipdatamaps.com/00681,PO Box,Mayaguez,https://www.zipdatamaps.com/zipcodes-mayaguez-pr,Mayaguez,https://www.zipdatamaps.com/mayaguez-pr-county-zipcodes
